station_id,route_id,arsid,sta_ord
116900107,116900014,17478,1
116900122,116900001,17960,1
107900246,107900008,08460,1
107900248,107900002,08458,1
107900256,107900003,08459,1
116900161,116900008,17909,1
107900272,107900011,08456,1
107900273,107900012,08455,1
107900278,107900013,08454,1
107900280,107900005,08457,1
110000100,100100145,11200,1
114000190,100100332,15293,1
114000197,100100302,15301,1
120000412,114900004,21851,1
122000723,124000013,23801,1
225000180,100100574,40619,1
225000180,100100279,40619,1
225000180,100100083,40619,1
225000180,100100265,40619,1
225000180,100100264,40619,1
120000173,100100251,21275,1
121000521,100100423,22813,1
108000014,100100030,09102,1
108000014,100100006,09102,1
108000014,100100032,09102,1
108000016,100100610,09104,1
111000299,100100118,12390,1
123000586,100100051,24460,1
123000586,100100612,24460,1
123000586,100100062,24460,1
109000179,109900005,10265,1
109000179,109900006,10265,1
110000111,110000008,11211,1
115000321,115000010,16435,1
115000321,100100318,16435,1
115000321,115000012,16435,1
115000321,100100316,16435,1
115000321,115000014,16435,1
115000321,100100320,16435,1
115000321,100100586,16435,1
115000321,100100309,16435,1
115000321,100100086,16435,1
115000321,100100308,16435,1
115000321,100100090,16435,1
206000498,107000008,07476,1
117900113,117900008,18511,1
117900119,117900006,18504,1
117900120,117900001,18502,1
117900121,117900007,18501,1
117900121,117900004,18501,1
123000198,100100478,24288,1
123000209,124000010,24299,1
122000337,122900003,23449,1
124000344,100100223,25341,1
124000344,100100212,25341,1
124000344,124000038,25341,1
124000344,124900001,25341,1
124000344,100100498,25341,1
124000344,100100225,25341,1
124000344,100100611,25341,1
124000344,124000039,25341,1
124000344,100100055,25341,1
124000344,100100224,25341,1
124000344,100100061,25341,1
124000344,104000013,25341,1
117900130,117900005,18856,1
117900140,117900003,18503,1
114000271,100100297,15378,1
114000271,100100294,15378,1
120000109,116000001,21211,1
115000039,111000025,16135,1
219000698,100100358,36299,1
103900142,103900014,04502,1
103900150,103900009,04505,1
102900010,102900004,03500,1
103900211,103900004,04836,1
106900019,106900001,07501,1
106900021,106900002,07500,1
108900004,108900004,09893,1
108900004,108900001,09893,1
108900017,108900007,09873,1
108900022,108900002,09505,1
108900151,108900006,09506,1
108900152,108900003,09504,1
108900153,108900005,09503,1
108900154,108900008,09502,1
108900158,108900009,09501,1
112000118,100000027,13201,1
112000122,100100349,13205,1
119900068,119900021,20521,1
120000043,100100081,21144,1
119900073,119900020,20513,1
119900075,119900014,20511,1
119900076,119900009,20510,1
119900077,119900019,20509,1
119900078,119900013,20507,1
119900078,119900008,20507,1
119900078,119900011,20507,1
119900080,119900007,20505,1
119900081,119900001,20504,1
119900081,119900010,20504,1
119900082,119900017,20503,1
119900082,119900018,20503,1
119900083,119900004,20500,1
119900086,119900012,20917,1
119900156,119900006,20508,1
105000472,100100584,04781,1
119900256,119900016,20502,1
119900256,119900015,20502,1
106000469,100100598,07462,1
106000469,100100042,07462,1
106000469,100100202,07462,1
119900298,119900024,20885,1
121900258,121900013,22937,1
121900258,121900010,22937,1
113000180,111000029,14271,1
113000180,113000007,14271,1
113000180,100100046,14271,1
113000180,100100110,14271,1
121900300,121900002,22099,1
121900307,121900015,22655,1
121900313,121900004,22526,1
122900035,122900001,23532,1
122900052,122900002,23533,1
122900065,123000014,23597,1
122900074,122900007,23995,1
122900074,122900010,23995,1
122900078,122900005,23946,1
122900087,122900006,23863,1
122900096,122900004,23963,1
103900218,103900003,04872,1
115900164,115900002,16568,1
115900201,115900005,16975,1
115900214,115900006,16489,1
110000093,110000006,11193,1
110000093,100100593,11193,1
110000093,100100007,11193,1
110000093,100100152,11193,1
106000319,100100192,07418,1
123000440,100100506,24662,1
110000380,110000002,11482,1
114000270,100100089,15377,1
114000270,111000008,15377,1
114000270,100100099,15377,1
105000166,100000025,06252,1
111901114,111900010,12856,1
102900065,102900002,03501,1
104900058,104900005,05504,1
104900059,104900003,05503,1
105900027,105900002,06502,1
105900027,105900003,06502,1
105900028,105900006,06501,1
105900043,105900001,06500,1
105900002,105900005,06591,1
105900002,105900004,06591,1
100900039,100900010,01506,1
100900040,100900005,01503,1
